well,depth,zone,sub_zone
1,2060.000000,B,2
1,2060.200000,B,2
1,2060.400000,B,2
1,2060.600000,B,2
1,2060.800000,B,2
1,2061.000000,B,2
1,2061.200000,B,2
1,2061.400000,B,2
1,2061.600000,B,2
1,2061.800000,B,2
1,2062.000000,B,2
1,2062.200000,B,2
1,2062.400000,B,2
1,2062.600000,B,2
1,2062.800000,B,2
1,2063.000000,B,2
1,2063.200000,B,2
1,2063.400000,B,2
1,2063.600000,B,2
1,2063.800000,B,2
1,2064.000000,B,2
1,2064.200000,B,1
1,2064.400000,B,1
1,2064.600000,B,1
1,2064.800000,B,1
1,2065.000000,B,1
1,2065.200000,B,1
1,2065.400000,B,1
1,2065.600000,B,1
1,2065.800000,B,1
1,2066.000000,B,1
1,2066.200000,B,1
1,2066.400000,B,1
2,2129.200000,B,2
2,2129.400000,B,2
2,2129.600000,B,2
2,2129.800000,B,2
2,2130.000000,B,2
2,2130.200000,B,2
2,2130.400000,B,2
2,2130.600000,B,2
2,2130.800000,B,2
2,2131.000000,B,2
2,2131.200000,B,2
2,2131.400000,B,2
2,2131.600000,B,2
2,2131.800000,B,2
2,2132.000000,B,2
2,2132.200000,B,2
2,2132.400000,B,2
2,2132.600000,B,2
2,2132.800000,B,2
2,2133.000000,B,1
2,2133.200000,B,1
2,2133.400000,B,1
2,2133.600000,B,1
2,2133.800000,B,1
2,2134.000000,B,1
2,2134.200000,B,1
2,2134.400000,B,1
2,2134.600000,B,1
2,2134.800000,B,1
2,2135.000000,B,1
2,2135.200000,B,1
2,2135.400000,B,1
2,2135.600000,B,1
2,2135.800000,B,1
2,2136.000000,B,1
2,2136.200000,B,1
2,2136.400000,B,1
2,2136.600000,B,1
2,2136.800000,B,1
2,2137.000000,B,1
2,2137.200000,B,1
2,2137.400000,B,1
2,2137.600000,B,1
2,2137.800000,B,1
2,2138.000000,B,1
2,2138.200000,B,1
2,2138.400000,B,1
2,2138.600000,B,1
2,2138.800000,B,1
2,2139.000000,B,1
2,2139.200000,B,1
2,2139.400000,B,1
2,2139.600000,B,1
2,2139.800000,B,1
2,2140.000000,B,1
2,2140.200000,B,1
2,2140.400000,B,2
2,2140.600000,B,2
2,2140.800000,B,2
2,2141.000000,B,2
2,2141.200000,B,2
2,2141.400000,B,2
2,2141.600000,B,2
2,2141.800000,B,2
2,2142.000000,B,2
2,2142.200000,B,2
2,2142.400000,B,2
2,2142.600000,B,2
2,2142.800000,B,1
2,2143.000000,B,1
2,2143.200000,B,1
2,2143.400000,B,1
2,2143.600000,B,1
2,2143.800000,B,1
2,2144.000000,B,1
2,2144.200000,B,1
2,2144.400000,B,1
2,2144.600000,B,1
2,2144.800000,B,1
2,2145.000000,B,1
2,2145.200000,B,1
2,2145.400000,B,1
2,2145.600000,B,1
2,2145.800000,B,1
2,2146.000000,B,1
2,2146.200000,B,1
2,2146.400000,B,1
2,2146.600000,B,1
2,2146.800000,B,1
2,2147.000000,B,2
2,2147.200000,B,2
2,2147.400000,B,2
2,2147.600000,B,2
2,2147.800000,B,2
2,2148.000000,B,2
2,2148.200000,B,1
2,2148.400000,B,1
2,2148.600000,B,1
2,2148.800000,B,1
2,2149.000000,B,1
2,2149.200000,B,1
2,2149.400000,B,1
2,2149.600000,B,1
2,2149.800000,B,1
2,2150.000000,B,1
2,2150.200000,B,1
2,2150.400000,B,1
2,2150.600000,B,1
2,2150.800000,B,1
2,2151.000000,B,2
2,2151.200000,B,2
2,2151.400000,B,2
2,2151.600000,B,2
2,2151.800000,B,2
2,2152.000000,B,2
2,2152.200000,B,2
2,2152.400000,B,2
2,2152.600000,B,1
2,2152.800000,B,1
2,2153.000000,B,1
2,2153.200000,B,1
2,2153.400000,B,1
2,2153.600000,B,1
2,2153.800000,B,1
2,2154.000000,B,1
2,2154.200000,B,1
2,2154.400000,B,1
2,2154.600000,B,1
2,2154.800000,B,1
2,2155.000000,B,1
2,2155.200000,B,1
2,2155.400000,B,1
2,2155.600000,B,2
2,2155.800000,B,2
2,2156.000000,B,2
2,2156.200000,B,2
2,2156.400000,B,2
2,2156.600000,B,2
2,2156.800000,B,2
2,2157.000000,B,2
2,2157.200000,B,2
2,2157.400000,B,2
2,2157.600000,B,2
2,2157.800000,B,2
2,2158.000000,B,1
2,2158.200000,B,1
2,2158.400000,B,1
2,2158.600000,B,1
2,2158.800000,B,1
2,2159.000000,B,1
2,2159.200000,B,1
2,2159.400000,B,1
2,2159.600000,B,1
2,2159.800000,B,1
2,2160.000000,B,1
2,2160.200000,B,1
2,2160.400000,B,1
2,2160.600000,B,1
2,2160.800000,B,1
2,2161.000000,B,1
