well,depth,zone,sub_zone
2,2246.200000,C,2
2,2246.400000,C,2
2,2246.600000,C,2
2,2246.800000,C,2
2,2247.000000,C,2
2,2247.200000,C,2
2,2247.400000,C,2
2,2247.600000,C,2
2,2247.800000,C,2
2,2248.000000,C,2
2,2248.200000,C,2
2,2248.400000,C,2
2,2248.600000,C,2
2,2248.800000,C,2
2,2249.000000,C,2
2,2249.200000,C,2
2,2249.400000,C,2
2,2249.600000,C,2
2,2249.800000,C,2
2,2250.000000,C,2
2,2250.200000,C,2
2,2250.400000,C,2
2,2250.600000,C,2
2,2250.800000,C,2
2,2251.000000,C,2
2,2251.200000,C,2
2,2251.400000,C,2
2,2251.600000,C,2
2,2251.800000,C,2
2,2252.000000,C,2
2,2252.200000,C,2
2,2252.400000,C,2
2,2252.600000,C,2
2,2252.800000,C,2
2,2253.000000,C,2
2,2253.200000,C,2
2,2253.400000,C,2
2,2253.600000,C,2
2,2253.800000,C,2
2,2254.000000,C,2
2,2254.200000,C,2
2,2254.400000,C,2
2,2254.600000,C,2
2,2254.800000,C,2
2,2255.000000,C,2
2,2255.200000,C,2
2,2255.400000,C,2
2,2255.600000,C,2
2,2255.800000,C,2
2,2256.000000,C,2
2,2256.200000,C,2
2,2256.400000,C,2
2,2256.600000,C,2
2,2256.800000,C,2
2,2257.000000,C,2
2,2257.200000,C,2
2,2257.400000,C,2
2,2257.600000,C,2
2,2257.800000,C,2
2,2258.000000,C,2
2,2258.200000,C,2
2,2258.400000,C,1
2,2258.600000,C,1
2,2258.800000,C,1
2,2259.000000,C,1
2,2259.200000,C,1
2,2259.400000,C,1
2,2259.600000,C,1
2,2259.800000,C,1
2,2260.000000,C,1
2,2260.200000,C,1
2,2260.400000,C,1
2,2260.600000,C,1
2,2260.800000,C,1
2,2261.000000,C,2
2,2261.200000,C,2
2,2261.400000,C,2
2,2261.600000,C,2
2,2261.800000,C,2
2,2262.000000,C,2
2,2262.200000,C,2
2,2262.400000,C,2
2,2262.600000,C,2
2,2262.800000,C,2
2,2263.000000,C,2
2,2263.200000,C,1
2,2263.400000,C,1
2,2263.600000,C,1
2,2263.800000,C,1
2,2264.000000,C,1
2,2264.200000,C,1
2,2264.400000,C,1
2,2264.600000,C,1
2,2264.800000,C,1
2,2265.000000,C,1
2,2265.200000,C,1
2,2265.400000,C,1
2,2265.600000,C,1
2,2265.800000,C,1
2,2266.000000,C,1
2,2266.200000,C,1
2,2266.400000,C,1
2,2266.600000,C,1
2,2266.800000,C,1
2,2267.000000,C,1
2,2267.200000,C,1
2,2267.400000,C,1
2,2267.600000,C,1
2,2267.800000,C,1
2,2268.000000,C,1
2,2268.200000,C,1
2,2268.400000,C,1
2,2268.600000,C,1
2,2268.800000,C,1
2,2269.000000,C,1
2,2269.200000,C,1
2,2269.400000,C,1
2,2269.600000,C,1
2,2269.800000,C,1
2,2270.000000,C,1
2,2270.200000,C,1
2,2270.400000,C,1
2,2270.600000,C,2
2,2270.800000,C,2
2,2271.000000,C,2
2,2271.200000,C,2
2,2271.400000,C,2
2,2271.600000,C,2
2,2271.800000,C,2
2,2272.000000,C,2
2,2272.200000,C,2
2,2272.400000,C,2
2,2272.600000,C,2
2,2272.800000,C,2
2,2273.000000,C,2
2,2273.200000,C,2
2,2273.400000,C,2
2,2273.600000,C,2
2,2273.800000,C,2
2,2274.000000,C,2
2,2274.200000,C,2
2,2274.400000,C,2
2,2274.600000,C,2
2,2274.800000,C,2
2,2275.000000,C,2
2,2275.200000,C,2
2,2275.400000,C,2
2,2275.600000,C,2
2,2275.800000,C,2
2,2276.000000,C,2
2,2276.200000,C,2
2,2276.400000,C,2
2,2276.600000,C,2
2,2276.800000,C,2
2,2277.000000,C,2
2,2277.200000,C,2
2,2277.400000,C,2
2,2277.600000,C,2
2,2277.800000,C,2
2,2278.000000,C,2
2,2278.200000,C,2
2,2278.400000,C,2
2,2278.600000,C,2
2,2278.800000,C,2
2,2279.000000,C,1
2,2279.200000,C,1
2,2279.400000,C,1
2,2279.600000,C,1
2,2279.800000,C,1
2,2280.000000,C,1
2,2280.200000,C,1
2,2280.400000,C,1
2,2280.600000,C,1
2,2280.800000,C,1
2,2281.000000,C,1
2,2281.200000,C,1
2,2281.400000,C,1
2,2281.600000,C,2
2,2281.800000,C,2
2,2282.000000,C,2
2,2282.200000,C,2
2,2282.400000,C,2
2,2282.600000,C,2
2,2282.800000,C,2
2,2283.000000,C,2
2,2283.200000,C,2
2,2283.400000,C,2
2,2283.600000,C,2
2,2283.800000,C,2
2,2284.000000,C,2
2,2284.200000,C,2
2,2284.400000,C,2
2,2284.600000,C,2
2,2284.800000,C,1
2,2285.000000,C,1
2,2285.200000,C,1
2,2285.400000,C,1
2,2285.600000,C,1
2,2285.800000,C,1
2,2286.000000,C,2
2,2286.200000,C,2
2,2286.400000,C,2
2,2286.600000,C,2
